Reference,Part Number,Description,Manufacturer,Quantity,Unit Cost,Total Cost,Supplier Notes
U1,Raspberry Pi Pico,MCU - RP2040 Dual-core ARM Cortex-M0+,Raspberry Pi Foundation,1,5.00,5.00,Primary microcontroller
U2-U7,TMC2208-24V,Stepper Motor Driver IC (6x) 24V rated,Trinamic,6,9.50,57.00,Silent steppers with SPI/UART config
U8,MP6524,24V to 5V Buck Converter DC-DC,MPS,1,3.50,3.50,Input 24V, Output 5V@2A (or similar 24V-5V converter)
GPS1,NEO-6M,GPS Module (9600 baud UART),u-blox,1,25.00,25.00,Ceramic antenna
DISP1,ST7735S,1.8" TFT Display (SPI),Sitronix,1,8.00,8.00,SPI interface 128x160 pixels
MOTOR1-MOTOR6,NEMA 11,Stepper Motor (6x) 200 steps/rev 24V 0.67A,Generic,6,15.00,90.00,Hours tens/ones, Minutes tens/ones, Seconds tens/ones
SW1,SPST Momentary,Timezone Button,Generic,1,0.50,0.50,GPIO26
SW2,SPST Momentary,24H/12H Format Button,Generic,1,0.50,0.50,GPIO27
HS1-HS6,A1104,Hall Effect Sensor (6x) Home Position Detection,Allegro,6,0.75,4.50,3.3V ratiometric analog output
LED1,5mm Red LED,Status LED (Optional - Pico has built-in),Generic,1,0.10,0.10,If external LED desired
C1-C10,100nF Ceramic,Decoupling Capacitors (10x),Generic,10,0.10,1.00,0.1µF for logic supply
C11,220µF Electrolytic,Bulk Capacitor - 24V Input,Generic,1,0.75,0.75,For buck converter stability
C12,100µF Electrolytic,Bulk Capacitor - 5V Output,Generic,1,0.50,0.50,
C13,10µF Tantalum,GPS Module Supply,Generic,1,0.30,0.30,
R1-R6,10kΩ,Pull-up Resistors (6x),Generic,6,0.05,0.30,For button inputs
R7-R8,10kΩ,Pull-up Resistors - SPI (2x),Generic,2,0.05,0.10,
CONN1,2.54mm Header Pins,40-pin DIP Header,Generic,1,0.50,0.50,For breadboard prototyping or PCB mount
CONN2,USB Micro-B,USB Power Connector,Generic,1,1.00,1.00,For Pico programming and power
CONN3,2.1mm Barrel Jack,DC Power Input (24V),Generic,1,0.75,0.75,For main power
MISC,Wiring & Connectors,AWG 22 wire & JST-XH connectors,Generic,1,5.00,5.00,Motor connections, GPS connections
,,,TOTAL ESTIMATED COST:,,178.20,
